5462.9, 15301, -283.547, 6338.54
5463, 9000, 147.856, 8107.95
5463.12, 9000, 1302.46, 8163
5463.25, 9000, -39.3175, 8150.73
5463.38, 9000, 294.778, 8170.54
5463.5, 9000, 421.377, 8239.96
5463.62, 9000, 194.515, 8339
5463.75, 9000, -240.335, 8332.41
5463.88, 16966, 195.88, 5988.41
5464, 9000, 268.385, 8216.87
5464.33, 9000, 1.81565, 8173.23
5464.67, 13157, -108.816, 6912.38
5465, 9000, -599.627, 8137.03
5465.12, 9000, -287.185, 8118.54
5465.25, 9000, -29.0135, 8187.96
5465.38, 9000, 106.847, 8242.05
5465.5, 9000, 1295.73, 8210.8
5465.62, 9000, -144.89, 8153.76
5465.75, 9000, 6.35853, 8097.4
5465.88, 11259, -257.052, 7331.54
5466, 9000, -450.229, 8176.93
5466.14, 9000, -339.606, 8081.77
5466.29, 9000, 255.371, 8050.11
5466.43, 9000, 41.5383, 8133.34
5466.57, 9000, -490.915, 8212.08
5466.71, 9000, -508.812, 8031.07
5466.86, 10067, -2.59342, 7696.3
5467, 9000, -106.107, 8143.09
5467.11, 9000, 165.842, 8118.12
5467.22, 9000, 326.026, 8160.67
5467.33, 9000, -42.9944, 8171.81
5467.44, 9000, 70.3583, 8114.21
5467.56, 9000, -459.683, 8022.27
5467.67, 9000, 191.172, 8010.4
5467.78, 9000, -969.835, 8008.1
5467.89, 11946, 935.323, 6956.25
5468, 9000, 21.7699, 8113.76
5468.12, 9000, 37.1964, 8095.05
5468.25, 9000, -78.6734, 8033.72
5468.38, 9000, 207.174, 8075.76
5468.5, 9000, -134.354, 8039
5468.62, 9000, 149.357, 8117.02
5468.75, 9000, 188.529, 8107.71
5468.88, 15369, -22.9862, 6234.07
5469, 9000, -394.106, 8070.35
5469.25, 9000, 139.34, 8091.66
5469.5, 9000, 76.8671, 8078.72
5469.75, 9310, -56.2816, 7941.3
5471, 9000, -16.1986, 8169.85
5471.1, 9000, 124.788, 8149.23
5471.2, 9000, -114.676, 8093.56
5471.3, 9000, 186.462, 8205.35
5471.4, 9000, 120.192, 8077.53
5471.5, 9000, 510.073, 8138.27
5471.6, 9000, -351.758, 8063.84
5471.7, 9000, -49.5632, 8195.81
5471.8, 9000, -71.1891, 8131.9
5471.9, 9585, 129.609, 7815.37
5472, 9000, -46.4487, 8135.86
5472.5, 13810, 304.854, 6579.47
5473, 9000, 1521.3, 8130.23
5473.33, 9000, -416.373, 8231.2
5473.67, 10095, -155.857, 7709.36
5474, 5671, 144.912, 10275.5
5475, 9000, 43.3804, 8145.34
5475.1, 9000, 126.509, 8216.2
5475.2, 9000, -175.459, 8154.05
5475.3, 9000, -38.9258, 8165.2
5475.4, 9000, 388.178, 8128.28
5475.5, 9000, -25.2372, 8164.02
5475.6, 9000, 143.652, 8175.31
5475.7, 9000, 364.557, 8096.93
5475.8, 9000, -7.61125, 8131.85
5475.9, 9063, -72.1533, 8123.35
5476, 9000, -144.916, 8101.33
5476.2, 9000, 65.4381, 8249.66
5476.4, 9000, 65.448, 8163.6
5476.6, 9000, 190.625, 8023.96
5476.8, 17146, -17.3257, 5875.17
5477, 9000, -63.3606, 8103.61
5477.2, 9000, -9.82124, 8126.82
5477.4, 9000, -47.2817, 8123.36
5477.6, 9000, 613.577, 7942.25
5477.8, 11826, -46.3652, 7087.1
5478, 9000, 310.744, 8143.59
5478.33, 9000, -159.67, 8199.9
5478.67, 17411, -29.593, 5871.79
5486, 9000, -120.36, 8685.4
5486.5, 11238, 649.603, 7398.4
5488, 9000, -84.7426, 8333.29
5488.33, 9000, 106.646, 8293.59
5488.67, 10365, 80.3428, 7797.73
5489, 9000, -366.891, 8209.05
5489.5, 16794, -59.4056, 6024.34
5576, 11694, 0, 7313.76
5581, 9000, 408.894, 7949.24
5581.14, 9000, -381.274, 8016.31
5581.29, 9000, -23.3981, 8009.14
5581.43, 9000, 5.00005, 8038.17
5581.57, 9000, -157.925, 8057.52
5581.71, 9000, -86.4906, 8047.96
5581.86, 12865, 166.239, 6809.57
5582, 9000, -130.354, 8068.34
5582.14, 9000, -552.316, 8161.69
5582.29, 9000, -31.5482, 8067.17
5582.43, 9000, -183.954, 8144.02
5582.57, 9000, 1.91305, 8134.66
5582.71, 9000, 174.76, 8200.4
5582.86, 12169, 274.035, 6974.39
5583, 9000, 102.127, 8120.81
5583.14, 9000, 52.5537, 8082.75
5583.29, 9000, -46.2581, 8216.45
5583.43, 9000, 70.1521, 8063.05
5583.57, 9000, 42.0158, 8064.52
5583.71, 9000, 2.16003, 8118.41
5583.86, 15890, 47.781, 6112.51
5613, 9000, 13.4704, 7961.27
5613.5, 16250, 149.569, 5935.55
5616, 9000, -149.135, 8127.12
5616.12, 9000, -605.757, 7984.68
5616.25, 9000, -359.074, 7874.95
5616.38, 9000, -227.295, 7792.69
5616.5, 9000, -153.006, 7796.9
5616.62, 9000, 752.418, 7772.93
5616.75, 9000, -558.754, 7806.4
5616.88, 12835, 102.772, 6559.57
5619, 2911, 531.772, 13994.1
5620, 9000, 149.769, 7968.6
5620.5, 11716, -341.314, 7010.09
5636, 5693, -0, 10978.3
5637, 10961, -0, 7544.07
5639, 9000, 54.4948, 8250.63
5639.33, 9000, -155.032, 8334.19
5639.67, 13430, 180.675, 6813.85
5640, 9000, 398.719, 8459.74
5640.17, 9000, 527.056, 8356.55
5640.33, 9000, 58.4966, 8358.42
5640.5, 9000, -223.102, 8332.77
5640.67, 9000, -45.9796, 8311.04
5640.83, 11790, -62.8726, 7290.51
5641, 9000, 203.877, 8353.33
5641.2, 9000, -26.3281, 8331.18
5641.4, 9000, -163.739, 8535.09
5641.6, 9000, 19.3498, 8415.35
5641.8, 10942, 147.13, 7703.53
5642, 9000, -81.2439, 8387.19
5642.33, 9000, 720.662, 8377.55
5642.67, 15915, -112.899, 6318.75
5643, 10487, -0, 7833.76
5644, 9000, 197.845, 8462.82
5644.25, 9000, -107.293, 8585.31
5644.5, 9000, -66.0485, 8437.05
5644.75, 11675, -21.63, 7626.52
5645, 9000, -223.274, 8090.74
5645.2, 9000, 637.512, 7996.44
5645.4, 9000, -34.5234, 8081.53
5645.6, 9000, 237.343, 8233.53
5645.8, 16855, -125.893, 5920.67
5646, 9000, 250.475, 8150.21
5646.33, 9000, 161.335, 8160.93
5646.67, 10152, -51.4025, 7596.41
5648, 9000, -146.185, 8028.69
5648.17, 9000, 10.0373, 8002.44
5648.33, 9000, 139.411, 8025
5648.5, 9000, -668.777, 7998
5648.67, 9000, -46.8284, 8082.04
5648.83, 14173, 141.739, 6441.32
5649, 9000, -100.674, 8089.55
5649.2, 9000, -31.976, 7978.39
5649.4, 9000, -10.4119, 8026.38
5649.6, 9000, 131.486, 8003.76
5649.8, 17270, 70.5468, 5751.06
5650, 9000, -253.701, 8053.55
5650.14, 9000, 198.875, 8136.01
5650.29, 9000, -40.3231, 8064.05
5650.43, 9000, -233.478, 7970.07
5650.57, 9000, -503.425, 8039.73
5650.71, 9000, 45.3875, 8053.32
5650.86, 11709, -222.983, 7074.95
5651, 9000, -823.888, 8174.77
5651.14, 9000, 136.82, 8045.28
5651.29, 9000, 107.544, 7873.09
5651.43, 9000, 21.1754, 8004.98
5651.57, 9000, -102.284, 8080.14
5651.71, 9000, 385.098, 8024.45
5651.86, 10683, -306.016, 7469.88
5652, 9000, -136.12, 7954.16
5652.2, 9000, -96.0724, 8118.39
5652.4, 9000, -223.633, 7945.48
5652.6, 9000, -25.4908, 8018.76
5652.8, 11341, -299.998, 7106.06
5653, 13135, 0, 6969.43
5655, 9000, 87.3471, 8076.81
5655.17, 9000, 125.687, 7992.3
5655.33, 9000, 310.975, 8003.05
5655.5, 9000, 129.623, 8005.08
5655.67, 9000, 351.572, 8093.88
5655.83, 17286, 65.1341, 5824.18
5656, 7723, -0, 8887.28
5749, 9000, -272.475, 8200.3
5749.14, 9000, -35.7047, 8179.05
5749.29, 9000, -587.14, 8225.49
5749.43, 9000, 207.744, 8281.26
5749.57, 9000, -39.9603, 8216.86
5749.71, 9000, -289.581, 8167.61
5749.86, 13017, 35.4266, 6835.84
5750, 9000, -134.846, 8227.2
5750.5, 17182, -82.915, 5877.02
5751, 9000, -11.6324, 8145.52
