14,6,20,C,37557.61,239.161,5958.733,11.958,40319.754
13,7,20,N,21765.11,55.59,6709.24,2.779,23365.807
12,8,20,O,3796.168,0.885,7568.57,0.044,4075.354
11,9,20,F,-17.463,0.03,7720.134,0.002,999981.252
10,10,20,Ne,-7041.93055,0.00157,8032.24,0,992440.1762
9,11,20,Na,6850.604,1.114,7298.496,0.056,7354.426
8,12,20,Mg,17558.667,27,6723.976,1.35,18850.004
14,7,21,N,25251.164,95.045,6608.099,4.526,27108.24
13,8,21,O,8061.907,12,7389.38,0.571,8654.813
12,9,21,F,-47.609,1.8,7738.293,0.086,999948.889
11,10,21,Ne,-5731.776,0.038,7971.713,0.002,993846.685
10,11,21,Na,-2184.637,0.276,7765.547,0.013,997654.695
9,12,21,Mg,10913.515,16.415,7104.571,0.782,11716.14
16,6,22,C,53590.244,246.572,5422.03,11.208,57531.496
15,7,22,N,32038.675,192.213,6366.085,8.737,34394.934
14,8,22,O,9283.322,56.921,7364.858,2.587,9966.057
13,9,22,F,2793.377,12.399,7624.295,0.564,2998.813
12,10,22,Ne,-8024.714,0.018,8080.465,0.001,991385.114
11,11,22,Na,-5181.518,0.171,7915.667,0.008,994437.411
10,12,22,Mg,-399.939,0.313,7662.762,0.014,999570.648
15,8,23,O,14620.657,90.01,7163.516,3.913,15695.922
14,9,23,F,3313.042,49.97,7621.136,2.173,3556.696
13,10,23,Ne,-5154.044,0.104,7955.255,0.005,994466.905
12,11,23,Na,-9529.85249,0.00181,8111.493,0,989769.282
11,12,23,Mg,-5473.264,0.687,7901.104,0.03,994124.208
10,13,23,Al,6748.07,0.345,7335.727,0.015,7244.351
16,8,24,O,18500.402,109.916,7039.685,4.58,19861
15,9,24,F,7559.527,72.282,7462.957,3.012,8115.485
14,10,24,Ne,-5951.641,0.513,7993.324,0.021,993610.65
13,11,24,Na,-8417.958,0.036,8063.49,0.002,990962.95
12,12,24,Mg,-13933.569,0.013,8260.709,0.001,985041.697
11,13,24,Al,-47.614,1.104,7649.53,0.046,999948.883
10,14,24,Si,10744.353,19.472,7167.267,0.811,11534.538
17,8,25,O,27347.719,110.935,6727.057,4.437,29358.986
16,9,25,F,11363.509,75.472,7335.132,3.019,12199.229
15,10,25,Ne,-2059.806,44.721,7840.771,1.789,997788.707
14,11,25,Na,-9357.817,1.2,8101.397,0.048,989953.969
13,12,25,Mg,-13192.771,0.047,8223.502,0.002,985836.976
12,13,25,Al,-8916.165,0.473,8021.144,0.019,990428.102
11,14,25,Si,3827.331,10,7480.11,0.4,4108.808
18,8,26,O,34733.037,155.504,6494.709,5.981,37287.45
17,9,26,F,18665.061,77.28,7082.618,2.972,20037.768
16,10,26,Ne,479.445,18.186,7751.974,0.699,514.705
15,11,26,Na,-6860.78,3.502,8004.201,0.135,992634.649
14,12,26,Mg,-16214.546,0.03,8333.87,0.001,982592.968
13,13,26,Al,-12210.112,0.064,8149.764,0.002,986891.904
12,14,26,Si,-7140.977,0.107,7924.707,0.004,992333.845
18,9,27,F,24629.633,190.025,6898.326,7.038,26441
17,10,27,Ne,7035.824,65.205,7520.973,2.415,7553.268
16,11,27,Na,-5517.676,3.727,7956.942,0.138,994076.531
15,12,27,Mg,-14586.614,0.05,8263.853,0.002,984340.624
14,13,27,Al,-17196.747,0.104,8331.548,0.004,981538.531
13,14,27,Si,-12384.389,0.142,8124.337,0.005,986704.811
12,15,27,P,-722.461,26.34,7663.438,0.976,999224.406
19,9,28,F,32920.95,196.493,6644.1,7.018,35342.095
18,10,28,Ne,11291.569,95.825,7388.637,3.422,12121.998
17,11,28,Na,-988.315,10.246,7799.264,0.366,998939
16,12,28,Mg,-15018.73,2.004,8272.409,0.072,983876.728
15,13,28,Al,-16850.53,0.121,8309.889,0.004,981910.21
14,14,28,Si,-21492.79459,0.00041,8447.744,0,976926.5347
13,15,28,P,-7147.74,1.152,7907.479,0.041,992326.585
12,16,28,S,4073.205,160,7478.79,5.714,4372.766
19,10,29,Ne,18399.801,99.67,7167.067,3.437,19753
18,11,29,Na,2679.976,7.383,7682.152,0.255,2877.073
17,12,29,Mg,-10602.829,11.4,8113.202,0.393,988617.393
16,13,29,Al,-18204.662,0.931,8348.357,0.032,980456.49
15,14,29,Si,-21895.07867,0.00049,8448.635,0,976494.6649
14,15,29,P,-16952.451,0.563,8251.222,0.019,981800.794
13,16,29,S,-3156.408,50,7748.519,1.724,996611.456
20,10,30,Ne,23039.573,280.38,7042.549,9.346,24734
19,11,30,Na,8474.67,4.727,7501.968,0.158,9097.932
18,12,30,Mg,-8883.727,3.447,8054.503,0.115,990462.926
17,13,30,Al,-15872.452,14.045,8261.382,0.468,982960.22
16,14,30,Si,-24432.961,0.022,8520.654,0.001,973770.136
15,15,30,P,-20200.608,0.312,8353.497,0.01,978313.753
14,16,30,S,-14059.007,0.369,8122.699,0.012,984907.033
21,10,31,Ne,30820.342,1619.868,6824.743,52.254,33087
20,11,31,Na,12260.935,23.287,7398.196,0.751,13162.656
19,12,31,Mg,-3122.337,3.074,7869.194,0.099,996648.032
18,13,31,Al,-14954.976,20.343,8225.655,0.656,983945.171
17,14,31,Si,-22949.036,0.043,8458.291,0.001,975363.194
16,15,31,P,-24440.54111,0.00065,8481.167,0,973761.9984
15,16,31,S,-19042.525,0.229,8281.8,0.007,979557.007
14,17,31,Cl,-7066.124,50,7870.228,1.613,992414.203
21,11,32,Na,18809.658,120.163,7214.584,3.755,20193
20,12,32,Mg,-828.807,3.167,7803.837,0.099,999110.239
19,13,32,Al,-11098.528,12.109,8100.318,0.378,988085.239
18,14,32,Si,-24077.686,0.298,8481.468,0.009,974151.539
17,15,32,P,-24304.874,0.04,8464.12,0.001,973907.643
16,16,32,S,-26015.53353,0.00132,8493.129,0,972071.1744
15,17,32,Cl,-13334.674,0.562,8072.404,0.018,985684.637
14,18,32,Ar,-2200.351,1.77,7700.008,0.055,997637.826
21,12,33,Mg,4962.204,2.888,7636.458,0.088,5327.145
20,13,33,Al,-8468.233,75.547,8019.733,2.289,990908.977
19,14,33,Si,-20514.326,0.699,8361.059,0.021,977976.964
18,15,33,P,-26337.346,1.09,8513.806,0.033,971725.694
17,16,33,S,-26585.85432,0.00135,8497.63,0,971458.9098
16,17,33,Cl,-21003.337,0.391,8304.755,0.012,977451.989
15,18,33,Ar,-9384.293,0.401,7928.955,0.012,989925.546
22,12,34,Mg,8323.347,28.876,7550.39,0.849,8935.481
21,13,34,Al,-3068.901,68.963,7862.446,2.028,996705.398
20,14,34,Si,-19956.729,14.118,8336.137,0.415,978575.569
19,15,34,P,-24548.698,0.81,8448.185,0.024,973645.886
18,16,34,S,-29931.693,0.045,8583.498,0.001,967867.004
17,17,34,Cl,-24440.087,0.049,8398.97,0.001,973762.485
16,18,34,Ar,-18378.293,0.078,8197.672,0.002,980270.09
23,12,35,Mg,15639.784,179.778,7356.233,5.137,16790
22,13,35,Al,-219.833,69.862,7787.012,1.996,999764
21,14,35,Si,-14360.399,38.412,8168.676,1.097,984583.476
20,15,35,P,-24857.791,1.866,8446.248,0.053,973314.062
19,16,35,S,-28846.217,0.04,8537.851,0.001,969032.31
18,17,35,Cl,-29013.54,0.035,8520.279,0.001,968852.682
17,18,35,Ar,-23047.41,0.746,8327.465,0.021,975257.586
16,19,35,K,-11172.891,0.512,7965.84,0.015,988005.407
24,12,36,Mg,20380.157,460.158,7244.419,12.782,21879
23,13,36,Al,5950.384,99.67,7623.515,2.769,6388
