5408, 0, 100, 9000, 4431.38, 9084.41, -1.98845e+08, 795008, 1.17945e+09, 216099, -5.85838e+08, 770222, 177.805, 1775.18
5408, 1, 100, 9000, -14.9768, 9114.53, -1.98845e+08, 795008, 1.17945e+09, 216099, -5.85838e+08, 770222, 177.805, 1775.18
5408, 2, 100, 9000, 174.433, 9336.41, -1.98845e+08, 795008, 1.17945e+09, 216099, -5.85838e+08, 770222, 177.805, 1775.18
5408, 3, 100, 9000, 14878.6, 9257.73, -1.98845e+08, 795008, 1.17945e+09, 216099, -5.85838e+08, 770222, 177.805, 1775.18
5408, 4, 100, 9456, -483.75, 9018.24, -1.98059e+08, 773145, 1.17924e+09, 209605, -5.85351e+08, 748697, -353.688, 1725.96
5409, 0, 100, 9000, -4728.25, 9185.47, -2.05419e+08, 746869, 1.20004e+09, 162825, -5.89356e+08, 735158, 209.012, 9250.74
5409, 1, 100, 15943, 10148.3, 6930.23, -2.0827e+08, 559780, 1.19602e+09, 129432, -5.92232e+08, 551893, -205.812, 6638.57
5439, 0, 101, 9000, 9013.11, 7714.12, -2.5657e+08, 637026, 1.21644e+09, 172878, -6.21747e+08, 1.13661e+06, 2661.68, 3469.58
5439, 1, 101, 9000, 6110.16, 7541, -2.5657e+08, 637026, 1.21644e+09, 172878, -6.21747e+08, 1.13661e+06, 2661.68, 3469.58
5439, 2, 101, 15720, -11926.7, 5799.96, -2.31876e+08, 426378, 1.21135e+09, 114508, -6.08103e+08, 575631, 1200.9, 2244.58
5440, 0, 101, 9000, 2540.33, 7596.53, -1.67286e+08, 715170, 1.18959e+09, 341088, -5.53478e+08, 686772, 627.107, 2726.09
5440, 1, 101, 9000, 1181.47, 7683.74, -1.67286e+08, 715170, 1.18959e+09, 341088, -5.53478e+08, 686772, 627.107, 2726.09
5440, 2, 101, 9000, 9326.03, 7583.36, -1.67286e+08, 715170, 1.18959e+09, 341088, -5.53478e+08, 686772, 627.107, 2726.09
5440, 3, 101, 9000, 998.478, 7641.96, -1.67286e+08, 715170, 1.18959e+09, 341088, -5.53478e+08, 686772, 627.107, 2726.09
5440, 4, 101, 9000, 451.642, 7558.4, -1.67286e+08, 715170, 1.18959e+09, 341088, -5.53478e+08, 686772, 627.107, 2726.09
5440, 5, 101, 9000, -5194.44, 7611.79, -1.67286e+08, 715170, 1.18959e+09, 341088, -5.53478e+08, 686772, 627.107, 2726.09
